a_1	a_2	luminosity_distance	ra	dec	cos_theta_jn	cos_tilt_1	cos_tilt_2	mass_1	mass_2	tilt_1	tilt_2	theta_jn	chirp_mass	total_mass	symmetric_mass_ratio	mass_ratio	log_likelihood	inverted_mass_ratio	redshift	comoving_distance	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source
4.094285045072858231e-02	5.638822473605898944e-01	7.676604011503536640e+02	1.705425864339966679e-01	-6.468317219866943635e-01	-5.700058370147488285e-01	-2.620558338663452891e-01	2.410237093345387327e-01	4.382438794215649125e+01	2.637518270403468179e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.177309286087385054e+00	2.940897651099033894e+01	7.019957064619117659e+01	2.345537735132222912e-01	6.018380162855235804e-01	0.000000000000000000e+00	1.661576658403680407e+00	1.558417196537847660e-01	6.641539894302253515e+02	3.791556161797260671e+01	2.281902639051217108e+01	6.073458800848477779e+01	2.544377487931424042e+01
5.582305463460200956e-01	7.428101656154507682e-01	1.094527766049571937e+03	2.370497334418164570e-01	-5.238745982191755912e-01	-8.795750002553679447e-01	7.472918711306402173e-01	-6.951817271115033892e-01	3.777765332763276263e+01	2.925689786017101568e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.645764481712629124e+00	2.889470136465263650e+01	6.703455118780377120e+01	2.459607679802388869e-01	7.744498475444165919e-01	0.000000000000000000e+00	1.291239197955484919e+00	2.146306862791419190e-01	9.011193348873177911e+02	3.110217266398853653e+01	2.408707287792604390e+01	5.518924554191457332e+01	2.378887812654205192e+01
1.231516882438392635e-01	7.260958741976704101e-01	9.156863879997572440e+02	3.189439790119363849e-01	-4.032657218498292284e-01	-7.803390250273489759e-01	5.867766807395470297e-01	-4.754981646570424075e-02	4.053220272271202163e+01	2.908682489520638725e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.466004091443759094e+00	2.980933741665360515e+01	6.961902761791840533e+01	2.432431485622995049e-01	7.176226047766145477e-01	0.000000000000000000e+00	1.393490106559958974e+00	1.828885120949904908e-01	7.741080904041594977e+02	3.426544624304976594e+01	2.458965878677043193e+01	5.885510502982019432e+01	2.520046235283735570e+01
2.793044673394337041e-01	2.489648619724409706e-01	1.249609073893736422e+03	2.421029350588936313e-01	-6.000420330988902595e-01	-9.363553150897874211e-01	7.513194022802900385e-01	-2.667826737906637408e-02	4.799315500674003943e+01	2.642504577670694133e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.782896430400820798e+00	3.073131868676862766e+01	7.441820078344697720e+01	2.290006512785141835e-01	5.506003048350514018e-01	0.000000000000000000e+00	1.816199503012588368e+00	2.414166673817029207e-01	1.006591036221986656e+03	3.865998924274423842e+01	2.128620186197478859e+01	5.994619110471902701e+01	2.475503954009629837e+01
6.776262330365258046e-01	1.235738503011452050e-01	1.151222135900642115e+03	2.104596632228323827e-01	-4.790626191045573301e-01	-9.604221610516429086e-01	-2.197177221493657739e-01	6.474528036343769610e-01	3.587193639916964116e+01	3.162308040249594754e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.859310180214378327e+00	2.930900357944653223e+01	6.749501680166558515e+01	2.490093035350326445e-01	8.815548748360279019e-01	0.000000000000000000e+00	1.134359333202034970e+00	2.244970919683829946e-01	9.401508823203529346e+02	2.929524017203290143e+01	2.582536178314784081e+01	5.512060195518073868e+01	2.393554363802711293e+01
2.998774861950835244e-02	1.734076475422522204e-02	1.314871684885366676e+03	2.814694534246947044e-01	-4.624618922469994065e-01	-8.493919462281434019e-01	5.039988477089069052e-01	-9.722109324120071783e-01	3.690922348950318366e+01	3.068988063322486326e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.585628415083895959e+00	2.927452631348425527e+01	6.759910412272805047e+01	2.478838467002005552e-01	8.314962421778644419e-01	0.000000000000000000e+00	1.202651255982575051e+00	2.525032886827168754e-01	1.049788120347433278e+03	2.946836453285592938e+01	2.450283437219716731e+01	5.397119890505310025e+01	2.337281393031140908e+01
5.925708810027409124e-01	6.883251008789158243e-02	8.934656189001428856e+02	2.445247971360847428e-01	-5.743285851274726461e-01	-4.386475859165617219e-01	6.212139415887273364e-01	-1.492763331683561179e-01	3.869942236207156583e+01	3.403544594334313445e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.024889522100485006e+00	3.158151977231868912e+01	7.273486830541469317e+01	2.489720608972952332e-01	8.794820146127170224e-01	0.000000000000000000e+00	1.137032916404042027e+00	1.788747924671827139e-01	7.578915381474821515e+02	3.282742375132163914e+01	2.887112877535771460e+01	6.169855252667935019e+01	2.678954539881541308e+01
1.290439952781717407e-02	8.479453489994902560e-01	5.928211200512024561e+02	3.963977220172370530e-01	-3.862262365081415294e-01	3.376564344961485026e-02	-7.285179805848016055e-02	2.958833208537192117e-01	3.914174526596416115e+01	3.209627071649838825e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.537024263911097366e+00	3.082580971816703652e+01	7.123801598246254230e+01	2.475546733651137754e-01	8.200010116668918769e-01	0.000000000000000000e+00	1.219510690562695121e+00	1.228663271540511304e-01	5.279509473129681965e+02	3.485877554559005631e+01	2.858423121285295920e+01	6.344300675844301196e+01	2.745278665208196500e+01
1.049165459560672947e-01	4.742882732573935334e-01	1.154125251999984584e+03	2.313188896929390392e-01	-5.918599201187316750e-01	-9.401978135162254446e-01	-7.677425772363806189e-01	9.782633482292952820e-01	3.591126596206240862e+01	3.526844344491697569e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.794006897880928708e+00	3.098125188838082522e+01	7.117970940697938431e+01	2.499796103510061041e-01	9.820996976875020490e-01	0.000000000000000000e+00	1.018226563305789423e+00	2.250002023711937804e-01	9.421355046938109581e+02	2.931531430978551711e+01	2.879056132125446155e+01	5.810587563103997866e+01	2.529081368999891311e+01
1.388690476267872426e-02	6.074183290917771760e-01	1.114219181790283983e+03	2.335808669139638472e-01	-5.025366735780516514e-01	-9.561455514531833622e-01	3.652147990345490369e-02	-1.729362629431553111e-01	4.241541544661894392e+01	2.628493907983893507e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.844342637021898490e+00	2.890324633731613346e+01	6.870035452645788610e+01	2.362178669364501105e-01	6.197025020990142297e-01	0.000000000000000000e+00	1.613677525284903602e+00	2.180676608195848687e-01	9.147401022020011396e+02	3.482188782360370283e+01	2.157921101209840842e+01	5.640109883570211480e+01	2.372876915381563734e+01
